,07-08-095-0,07-08-120-8,07-08-122-0,07-08-123-1,07-08-015-6,07-08-017-3,07-08-026-9,07-08-128-3,07-08-117-4,07-01-100-6,07-01-068-3,07-01-105-2,07-01-083-8,07-01-108-1,07-01-124-3,07-01-103-4,07-08-125-4,07-08-144-3,07-08-142-7,07-08-156-0,07-08-137-5,07-08-112-6,07-08-096-6,07-07-064-2,07-07-060-3,07-07-062-6,07-07-077-6,07-02-085-4,07-02-092-3,07-02-095-2,07-02-093-4,07-02-096-8,07-02-106-1,07-02-091-0,07-02-076-7,07-01-002-4,07-01-130-1,07-01-139-3,07-01-141-2,07-01-151-4,07-08-106-4,07-08-091-3,07-08-081-0,07-08-113-5,07-07-093-1,07-07-111-8,07-02-067-2,07-02-103-5,07-02-125-1,07-02-134-9,07-02-118-5,07-02-126-7,07-02-122-2,07-02-109-0,07-08-013-9,07-08-021-1,07-08-010-2,07-08-007-1,07-08-014-1,07-08-003-7,07-08-028-2,07-01-010-5,07-01-006-9,07-01-001-1,07-02-002-5,07-02-009-4,07-02-018-9,07-02-022-1,07-02-039-5,07-02-017-0,07-02-034-8,07-02-027-8,07-08-034-6,07-08-031-4,07-08-046-1,07-08-068-9,07-08-049-0,07-08-065-8,07-08-051-7,07-07-012-9,07-07-010-1,07-07-005-8,07-07-016-4,07-07-020-6,07-07-018-6,07-01-013-3,07-01-034-1,07-01-028-5,07-01-039-4,07-01-060-8,07-01-040-9,07-01-038-7,07-08-154-1,07-08-140-4,07-08-150-2,07-02-023-2,07-02-019-1,07-02-038-2,07-02-045-9,07-02-046-3,07-02-048-5,07-02-057-4,07-07-019-3,07-07-023-4,07-07-029-9,07-07-036-6,07-01-044-5,07-01-061-2,07-01-166-9,07-01-074-3,07-02-141-7,07-02-139-6,07-02-147-2,07-08-060-4,07-08-151-8,07-08-160-0,07-08-163-7,07-08-085-2,07-08-082-3,07-08-103-8
0,07-01-040-9,07-08-081-0,07-08-151-8,07-08-017-3,07-08-128-3,07-02-046-3,07-08-106-4,07-02-038-2,07-02-091-0,07-07-036-6,07-01-103-4,07-01-013-3,07-07-018-6,07-02-048-5,07-08-068-9,07-02-085-4,07-08-081-0,07-02-134-9,07-02-045-9,07-08-154-1,07-08-113-5,07-02-027-8,07-08-081-0,07-02-134-9,07-02-034-8,07-08-003-7,07-08-003-7,07-02-046-3,07-02-095-2,07-02-134-9,07-08-081-0,07-01-034-1,07-02-046-3,07-08-113-5,07-08-144-3,07-02-085-4,07-02-085-4,07-02-034-8,07-02-034-8,07-08-085-2,07-08-026-9,07-08-049-0,07-01-040-9,07-01-040-9,07-01-083-8,07-01-083-8,07-02-134-9,07-02-125-1,07-02-118-5,07-02-046-3,07-08-113-5,07-08-113-5,07-02-118-5,07-08-049-0,07-02-046-3,07-08-085-2,07-01-010-5,07-07-019-3,07-02-027-8,07-01-083-8,07-02-034-8,07-08-010-2,07-02-022-1,07-08-113-5,07-01-040-9,07-02-048-5,07-02-034-8,07-01-040-9,07-01-013-3,07-02-085-4,07-07-020-6,07-01-034-1,07-07-029-9,07-02-118-5,07-08-026-9,07-02-134-9,07-08-091-3,07-02-046-3,07-07-019-3,07-08-085-2,07-02-034-8,07-02-023-2,07-02-046-3,07-02-034-8,07-01-083-8,07-02-118-5,07-02-027-8,07-02-027-8,07-08-113-5,07-02-046-3,07-02-045-9,07-02-122-2,07-08-156-0,07-01-105-2,07-08-068-9,07-02-095-2,07-02-046-3,07-02-046-3,07-01-040-9,07-02-134-9,07-02-147-2,07-08-081-0,07-08-091-3,07-07-018-6,07-01-040-9,07-02-126-7,07-01-040-9,07-01-013-3,07-08-142-7,07-01-040-9,07-08-091-3,07-08-160-0,07-02-048-5,07-01-040-9,07-08-081-0,07-01-040-9,07-08-060-4,07-01-040-9,07-07-016-4,07-08-160-0
1,07-08-160-0,07-08-096-6,07-08-081-0,07-02-034-8,07-07-019-3,07-08-051-7,07-08-046-1,07-08-091-3,07-08-065-8,07-02-134-9,07-01-001-1,07-02-126-7,07-08-113-5,07-08-137-5,07-01-083-8,07-01-068-3,07-01-044-5,07-07-093-1,07-01-166-9,07-01-040-9,07-01-034-1,07-02-126-7,07-01-040-9,07-01-013-3,07-01-083-8,07-02-126-7,07-01-013-3,07-02-017-0,07-02-048-5,07-02-023-2,07-08-151-8,07-02-085-4,07-07-019-3,07-02-085-4,07-01-083-8,07-02-091-0,07-01-040-9,07-01-141-2,07-07-020-6,07-08-154-1,07-02-046-3,07-02-109-0,07-08-085-2,07-01-001-1,07-08-144-3,07-02-039-5,07-02-085-4,07-02-048-5,07-02-027-8,07-02-095-2,07-01-013-3,07-01-040-9,07-01-038-7,07-08-091-3,07-08-060-4,07-07-029-9,07-07-062-6,07-08-051-7,07-02-095-2,07-02-091-0,07-02-048-5,07-02-118-5,07-08-160-0,07-01-083-8,07-08-060-4,07-01-013-3,07-01-001-1,07-08-103-8,07-02-126-7,07-02-027-8,07-07-010-1,07-08-112-6,07-08-021-1,07-01-013-3,07-01-034-1,07-01-013-3,07-02-048-5,07-02-134-9,07-02-046-3,07-01-034-1,07-02-109-0,07-02-134-9,07-08-051-7,07-01-083-8,07-02-085-4,07-02-039-5,07-01-040-9,07-02-048-5,07-02-118-5,07-02-023-2,07-08-085-2,07-08-112-6,07-08-160-0,07-01-083-8,07-01-013-3,07-02-134-9,07-08-091-3,07-02-048-5,07-02-126-7,07-02-085-4,07-08-049-0,07-08-034-6,07-08-049-0,07-02-046-3,07-02-027-8,07-07-029-9,07-08-085-2,07-08-113-5,07-02-045-9,07-01-034-1,07-07-019-3,07-08-081-0,07-02-027-8,07-08-163-7,07-08-034-6,07-08-085-2,07-01-040-9,07-01-034-1,07-02-046-3,07-02-022-1
2,07-08-034-6,07-08-122-0,07-08-120-8,07-02-046-3,07-02-046-3,07-08-106-4,07-02-046-3,07-02-046-3,07-01-013-3,07-08-026-9,07-02-046-3,07-02-118-5,07-01-001-1,07-01-013-3,07-02-126-7,07-01-040-9,07-08-103-8,07-02-126-7,07-02-046-3,07-08-060-4,07-08-049-0,07-01-034-1,07-07-029-9,07-02-046-3,07-02-039-5,07-02-092-3,07-07-111-8,07-02-134-9,07-02-039-5,07-02-085-4,07-01-044-5,07-08-113-5,07-07-064-2,07-01-083-8,07-02-109-0,07-08-113-5,07-01-103-4,07-01-013-3,07-01-083-8,07-08-081-0,07-08-046-1,07-07-019-3,07-08-160-0,07-02-126-7,07-02-046-3,07-07-060-3,07-08-065-8,07-02-118-5,07-01-013-3,07-02-085-4,07-02-034-8,07-02-045-9,07-07-060-3,07-02-034-8,07-07-005-8,07-01-040-9,07-08-003-7,07-08-049-0,07-08-085-2,07-02-085-4,07-02-109-0,07-08-003-7,07-01-040-9,07-01-013-3,07-08-154-1,07-08-117-4,07-01-061-2,07-08-160-0,07-02-023-2,07-08-065-8,07-01-083-8,07-02-085-4,07-02-022-1,07-01-083-8,07-02-134-9,07-08-113-5,07-02-109-0,07-08-113-5,07-08-142-7,07-08-112-6,07-02-039-5,07-02-095-2,07-08-082-3,07-02-039-5,07-07-023-4,07-02-034-8,07-08-085-2,07-08-065-8,07-01-034-1,07-08-142-7,07-08-113-5,07-01-061-2,07-08-113-5,07-01-013-3,07-02-034-8,07-07-005-8,07-02-141-7,07-08-128-3,07-07-029-9,07-08-065-8,07-02-039-5,07-08-151-8,07-07-010-1,07-02-118-5,07-02-045-9,07-02-046-3,07-08-160-0,07-01-083-8,07-08-113-5,07-02-027-8,07-02-019-1,07-01-151-4,07-01-083-8,07-08-113-5,07-01-044-5,07-08-103-8,07-08-113-5,07-08-021-1,07-08-051-7,07-01-105-2
3,07-08-021-1,07-08-151-8,07-02-057-4,07-01-013-3,07-02-134-9,07-08-123-1,07-02-134-9,07-02-034-8,07-02-048-5,07-02-046-3,07-02-126-7,07-02-039-5,07-02-034-8,07-08-113-5,07-07-023-4,07-07-023-4,07-08-160-0,07-02-046-3,07-07-036-6,07-08-085-2,07-01-040-9,07-01-013-3,07-01-044-5,07-02-027-8,07-02-048-5,07-01-034-1,07-08-150-2,07-01-040-9,07-07-062-6,07-02-126-7,07-08-060-4,07-07-023-4,07-02-141-7,07-08-065-8,07-01-166-9,07-01-034-1,07-01-034-1,07-02-039-5,07-08-049-0,07-08-163-7,07-02-134-9,07-02-034-8,07-02-022-1,07-01-083-8,07-01-105-2,07-02-034-8,07-02-023-2,07-02-091-0,07-02-134-9,07-08-065-8,07-08-065-8,07-01-034-1,07-02-039-5,07-01-083-8,07-08-014-1,07-01-034-1,07-02-096-8,07-08-106-4,07-01-040-9,07-02-017-0,07-02-118-5,07-02-126-7,07-02-002-5,07-08-065-8,07-01-044-5,07-02-018-9,07-02-048-5,07-02-118-5,07-07-060-3,07-02-023-2,07-02-118-5,07-07-029-9,07-08-160-0,07-08-113-5,07-02-027-8,07-08-065-8,07-02-039-5,07-02-118-5,07-08-017-3,07-08-021-1,07-01-013-3,07-02-085-4,07-08-142-7,07-01-141-2,07-02-023-2,07-02-134-9,07-02-085-4,07-08-137-5,07-02-125-1,07-08-113-5,07-08-060-4,07-01-074-3,07-01-166-9,07-08-068-9,07-02-048-5,07-02-085-4,07-02-085-4,07-02-134-9,07-08-142-7,07-08-026-9,07-08-065-8,07-08-160-0,07-02-141-7,07-02-096-8,07-01-034-1,07-02-118-5,07-08-060-4,07-02-118-5,07-02-126-7,07-08-060-4,07-08-051-7,07-02-022-1,07-02-034-8,07-02-002-5,07-08-122-0,07-02-022-1,07-08-085-2,07-08-160-0,07-08-106-4,07-08-154-1
4,07-08-060-4,07-08-021-1,07-08-034-6,07-02-134-9,07-02-141-7,07-02-109-0,07-08-065-8,07-02-048-5,07-02-096-8,07-01-039-4,07-01-083-8,07-02-048-5,07-02-118-5,07-01-038-7,07-02-134-9,07-02-046-3,07-08-096-6,07-07-062-6,07-08-154-1,07-02-046-3,07-01-013-3,07-08-068-9,07-08-125-4,07-08-026-9,07-02-027-8,07-02-118-5,07-01-038-7,07-02-027-8,07-01-083-8,07-02-027-8,07-08-160-0,07-08-065-8,07-02-039-5,07-02-118-5,07-07-093-1,07-01-074-3,07-08-021-1,07-07-010-1,07-01-001-1,07-08-103-8,07-01-083-8,07-02-141-7,07-08-151-8,07-02-118-5,07-02-126-7,07-02-118-5,07-02-017-0,07-02-027-8,07-02-048-5,07-08-068-9,07-01-083-8,07-02-118-5,07-02-126-7,07-07-010-1,07-01-068-3,07-02-027-8,07-01-034-1,07-08-144-3,07-07-005-8,07-01-061-2,07-08-091-3,07-08-113-5,07-01-074-3,07-02-118-5,07-02-045-9,07-08-065-8,07-02-091-0,07-08-113-5,07-08-049-0,07-02-091-0,07-01-013-3,07-02-017-0,07-08-095-0,07-01-061-2,07-02-046-3,07-08-150-2,07-08-137-5,07-02-085-4,07-02-141-7,07-08-160-0,07-07-019-3,07-08-068-9,07-07-023-4,07-02-109-0,07-07-029-9,07-08-068-9,07-08-113-5,07-01-034-1,07-08-060-4,07-01-166-9,07-01-034-1,07-01-034-1,07-08-060-4,07-08-049-0,07-08-065-8,07-08-065-8,07-02-134-9,07-02-118-5,07-02-046-3,07-02-027-8,07-02-125-1,07-02-022-1,07-07-111-8,07-01-083-8,07-07-036-6,07-02-134-9,07-02-022-1,07-01-040-9,07-02-022-1,07-02-125-1,07-02-046-3,07-08-103-8,07-02-085-4,07-01-074-3,07-02-057-4,07-08-021-1,07-02-022-1,07-08-113-5,07-02-022-1,07-01-074-3
5,07-02-022-1,07-01-166-9,07-08-142-7,07-02-118-5,07-07-064-2,07-08-026-9,07-02-027-8,07-02-134-9,07-02-134-9,07-08-113-5,07-08-113-5,07-01-061-2,07-07-111-8,07-01-034-1,07-02-122-2,07-02-095-2,07-08-021-1,07-02-027-8,07-07-029-9,07-02-045-9,07-01-083-8,07-01-038-7,07-08-156-0,07-08-091-3,07-07-111-8,07-01-083-8,07-02-048-5,07-02-091-0,07-01-105-2,07-01-083-8,07-02-002-5,07-02-134-9,07-08-091-3,07-08-117-4,07-02-046-3,07-02-118-5,07-08-103-8,07-08-068-9,07-02-109-0,07-02-022-1,07-07-023-4,07-02-048-5,07-01-044-5,07-02-091-0,07-01-068-3,07-01-013-3,07-02-027-8,07-01-061-2,07-02-091-0,07-02-023-2,07-02-134-9,07-07-036-6,07-02-023-2,07-02-118-5,07-08-144-3,07-07-023-4,07-01-083-8,07-02-118-5,07-07-023-4,07-08-065-8,07-07-020-6,07-07-062-6,07-08-103-8,07-01-061-2,07-08-113-5,07-02-109-0,07-02-009-4,07-08-081-0,07-02-048-5,07-08-026-9,07-07-060-3,07-01-040-9,07-08-026-9,07-01-001-1,07-08-106-4,07-08-112-6,07-07-019-3,07-02-017-0,07-08-106-4,07-08-154-1,07-08-049-0,07-01-083-8,07-02-085-4,07-07-060-3,07-08-113-5,07-01-105-2,07-02-126-7,07-02-017-0,07-01-083-8,07-08-065-8,07-07-029-9,07-02-118-5,07-08-085-2,07-02-048-5,07-08-137-5,07-02-017-0,07-02-048-5,07-02-023-2,07-02-085-4,07-01-040-9,07-02-091-0,07-08-021-1,07-08-144-3,07-08-021-1,07-02-046-3,07-08-065-8,07-08-081-0,07-01-001-1,07-08-154-1,07-07-029-9,07-02-106-1,07-01-040-9,07-07-060-3,07-02-045-9,07-08-095-0,07-01-044-5,07-02-122-2,07-07-029-9,07-08-034-6,07-02-085-4
6,07-02-027-8,07-08-142-7,07-07-016-4,07-07-020-6,07-08-049-0,07-08-065-8,07-01-040-9,07-08-026-9,07-01-083-8,07-01-103-4,07-08-156-0,07-08-112-6,07-02-085-4,07-01-083-8,07-02-046-3,07-01-083-8,07-08-151-8,07-02-118-5,07-01-040-9,07-08-021-1,07-02-134-9,07-01-040-9,07-01-166-9,07-08-046-1,07-02-122-2,07-08-144-3,07-01-061-2,07-08-065-8,07-08-003-7,07-02-118-5,07-01-006-9,07-08-085-2,07-08-049-0,07-02-017-0,07-08-106-4,07-01-083-8,07-01-083-8,07-07-060-3,07-02-118-5,07-01-074-3,07-02-034-8,07-07-010-1,07-08-112-6,07-08-065-8,07-01-061-2,07-07-010-1,07-01-083-8,07-01-013-3,07-02-023-2,07-07-005-8,07-02-126-7,07-02-039-5,07-07-023-4,07-01-001-1,07-01-166-9,07-08-160-0,07-02-126-7,07-02-046-3,07-02-023-2,07-07-062-6,07-08-049-0,07-01-034-1,07-08-163-7,07-02-109-0,07-01-074-3,07-02-134-9,07-08-003-7,07-08-021-1,07-07-111-8,07-02-046-3,07-08-091-3,07-02-046-3,07-01-040-9,07-08-068-9,07-08-068-9,07-02-126-7,07-02-034-8,07-08-026-9,07-07-036-6,07-02-096-8,07-07-111-8,07-08-065-8,07-07-005-8,07-07-010-1,07-02-017-0,07-01-061-2,07-07-029-9,07-02-096-8,07-01-040-9,07-08-060-4,07-02-126-7,07-08-113-5,07-08-103-8,07-07-005-8,07-01-083-8,07-02-039-5,07-02-118-5,07-02-027-8,07-08-060-4,07-02-118-5,07-07-060-3,07-08-095-0,07-08-051-7,07-02-122-2,07-08-021-1,07-02-039-5,07-07-029-9,07-02-134-9,07-01-040-9,07-01-038-7,07-08-142-7,07-08-125-4,07-02-023-2,07-02-126-7,07-08-096-6,07-08-154-1,07-01-074-3,07-08-163-7,07-08-026-9,07-08-112-6
7,07-01-074-3,07-02-057-4,07-08-082-3,07-08-128-3,07-02-019-1,07-08-068-9,07-02-017-0,07-02-118-5,07-01-061-2,07-08-060-4,07-02-095-2,07-02-091-0,07-02-091-0,07-02-023-2,07-02-118-5,07-07-036-6,07-01-151-4,07-07-111-8,07-08-051-7,07-01-068-3,07-08-065-8,07-02-118-5,07-08-151-8,07-02-034-8,07-02-109-0,07-08-010-2,07-02-118-5,07-01-034-1,07-02-125-1,07-02-046-3,07-08-125-4,07-08-021-1,07-02-019-1,07-02-048-5,07-02-034-8,07-02-022-1,07-02-027-8,07-01-124-3,07-02-039-5,07-08-160-0,07-02-109-0,07-08-128-3,07-08-021-1,07-01-034-1,07-08-113-5,07-01-001-1,07-02-095-2,07-02-017-0,07-02-085-4,07-08-026-9,07-02-027-8,07-02-095-2,07-02-046-3,07-07-060-3,07-02-076-7,07-02-096-8,07-02-125-1,07-02-134-9,07-01-038-7,07-02-096-8,07-08-026-9,07-02-096-8,07-08-060-4,07-02-126-7,07-02-022-1,07-01-083-8,07-08-113-5,07-01-166-9,07-02-027-8,07-02-048-5,07-02-109-0,07-02-134-9,07-02-046-3,07-01-038-7,07-07-005-8,07-01-034-1,07-07-060-3,07-02-023-2,07-08-026-9,07-08-113-5,07-08-091-3,07-02-046-3,07-07-018-6,07-08-065-8,07-01-040-9,07-01-001-1,07-02-134-9,07-08-117-4,07-02-126-7,07-01-039-4,07-01-074-3,07-08-031-4,07-08-142-7,07-02-118-5,07-01-001-1,07-01-083-8,07-07-019-3,07-08-026-9,07-01-166-9,07-08-017-3,07-01-028-5,07-01-040-9,07-08-007-1,07-02-134-9,07-08-085-2,07-02-027-8,07-08-103-8,07-01-038-7,07-08-060-4,07-02-085-4,07-08-028-2,07-08-060-4,07-02-039-5,07-01-039-4,07-08-160-0,07-08-081-0,07-02-085-4,07-01-044-5,07-08-013-9,07-01-040-9
8,07-07-029-9,07-02-022-1,07-08-156-0,07-08-068-9,07-07-029-9,07-02-134-9,07-02-034-8,07-08-065-8,07-02-017-0,07-01-068-3,07-07-062-6,07-08-065-8,07-07-060-3,07-01-040-9,07-08-113-5,07-02-118-5,07-08-060-4,07-07-019-3,07-02-126-7,07-01-103-4,07-02-109-0,07-07-029-9,07-08-142-7,07-08-049-0,07-02-147-2,07-02-091-0,07-07-062-6,07-02-023-2,07-02-023-2,07-02-092-3,07-08-034-6,07-01-040-9,07-08-065-8,07-02-125-1,07-08-113-5,07-08-060-4,07-08-154-1,07-08-091-3,07-02-126-7,07-08-095-0,07-08-065-8,07-08-065-8,07-08-095-0,07-01-039-4,07-02-109-0,07-02-126-7,07-02-048-5,07-08-117-4,07-01-074-3,07-02-027-8,07-02-091-0,07-01-013-3,07-08-065-8,07-08-137-5,07-02-122-2,07-02-022-1,07-08-031-4,07-08-017-3,07-08-163-7,07-08-113-5,07-02-023-2,07-02-125-1,07-08-034-6,07-02-091-0,07-02-126-7,07-01-001-1,07-02-147-2,07-01-034-1,07-02-034-8,07-01-083-8,07-01-141-2,07-02-118-5,07-08-085-2,07-02-125-1,07-02-085-4,07-02-118-5,07-07-010-1,07-02-091-0,07-07-023-4,07-01-040-9,07-07-020-6,07-01-034-1,07-08-017-3,07-01-013-3,07-02-046-3,07-02-125-1,07-01-074-3,07-08-112-6,07-08-068-9,07-01-040-9,07-02-085-4,07-08-065-8,07-07-036-6,07-02-034-8,07-02-118-5,07-08-113-5,07-07-064-2,07-08-144-3,07-08-113-5,07-07-036-6,07-02-017-0,07-07-029-9,07-02-034-8,07-07-029-9,07-02-134-9,07-01-040-9,07-02-002-5,07-02-048-5,07-07-036-6,07-02-023-2,07-02-134-9,07-01-074-3,07-08-065-8,07-08-085-2,07-01-166-9,07-08-113-5,07-02-023-2,07-02-085-4,07-07-029-9,07-01-038-7
9,07-08-081-0,07-08-034-6,07-08-096-6,07-02-038-2,07-08-051-7,07-02-034-8,07-01-034-1,07-08-068-9,07-02-009-4,07-01-040-9,07-07-093-1,07-02-027-8,07-01-061-2,07-08-150-2,07-02-023-2,07-01-039-4,07-01-040-9,07-01-083-8,07-01-044-5,07-02-022-1,07-02-027-8,07-07-005-8,07-08-095-0,07-02-085-4,07-08-049-0,07-01-105-2,07-07-010-1,07-02-095-2,07-02-091-0,07-07-005-8,07-01-040-9,07-02-126-7,07-07-060-3,07-01-013-3,07-08-013-9,07-02-027-8,07-01-074-3,07-02-109-0,07-02-085-4,07-01-034-1,07-08-017-3,07-08-028-2,07-08-103-8,07-08-137-5,07-02-118-5,07-02-109-0,07-02-091-0,07-02-147-2,07-02-095-2,07-01-013-3,07-02-046-3,07-08-112-6,07-01-083-8,07-02-134-9,07-01-105-2,07-08-034-6,07-01-074-3,07-07-111-8,07-08-112-6,07-02-092-3,07-02-038-2,07-01-105-2,07-08-156-0,07-08-031-4,07-02-027-8,07-07-020-6,07-01-013-3,07-08-163-7,07-07-010-1,07-02-095-2,07-02-027-8,07-08-026-9,07-08-142-7,07-02-034-8,07-02-034-8,07-07-005-8,07-01-013-3,07-01-040-9,07-08-007-1,07-08-031-4,07-02-048-5,07-02-027-8,07-08-156-0,07-08-028-2,07-08-021-1,07-02-126-7,07-08-046-1,07-01-013-3,07-01-074-3,07-02-141-7,07-02-022-1,07-01-040-9,07-08-021-1,07-02-039-5,07-01-034-1,07-02-118-5,07-08-065-8,07-08-112-6,07-02-023-2,07-02-045-9,07-02-085-4,07-08-122-0,07-02-039-5,07-02-027-8,07-08-034-6,07-02-096-8,07-08-113-5,07-08-031-4,07-08-026-9,07-02-134-9,07-07-036-6,07-01-044-5,07-02-125-1,07-08-154-1,07-08-085-2,07-01-074-3,07-08-068-9,07-07-012-9,07-08-142-7,07-02-118-5
