Chr,start,end,pid,gid,strand,07-08-095-0,07-08-120-8,07-08-122-0,07-08-123-1,07-08-015-6,07-08-017-3,07-08-026-9,07-08-128-3,07-08-117-4,07-01-100-6,07-01-068-3,07-01-105-2,07-01-083-8,07-01-108-1,07-01-124-3,07-01-103-4,07-08-125-4,07-08-144-3,07-08-142-7,07-08-156-0,07-08-137-5,07-08-112-6,07-08-096-6,07-07-064-2,07-07-060-3,07-07-062-6,07-07-077-6,07-02-085-4,07-02-092-3,07-02-095-2,07-02-093-4,07-02-096-8,07-02-106-1,07-02-091-0,07-02-076-7,07-01-002-4,07-01-130-1,07-01-139-3,07-01-141-2,07-01-151-4,07-08-106-4,07-08-091-3,07-08-081-0,07-08-113-5,07-07-093-1,07-07-111-8,07-02-067-2,07-02-103-5,07-02-125-1,07-02-134-9,07-02-118-5,07-02-126-7,07-02-122-2,07-02-109-0,07-08-013-9,07-08-021-1,07-08-010-2,07-08-007-1,07-08-014-1,07-08-003-7,07-08-028-2,07-01-010-5,07-01-006-9,07-01-001-1,07-02-002-5,07-02-009-4,07-02-018-9,07-02-022-1,07-02-039-5,07-02-017-0,07-02-034-8,07-02-027-8,07-08-034-6,07-08-031-4,07-08-046-1,07-08-068-9,07-08-049-0,07-08-065-8,07-08-051-7,07-07-012-9,07-07-010-1,07-07-005-8,07-07-016-4,07-07-020-6,07-07-018-6,07-01-013-3,07-01-034-1,07-01-028-5,07-01-039-4,07-01-060-8,07-01-040-9,07-01-038-7,07-08-154-1,07-08-140-4,07-08-150-2,07-02-023-2,07-02-019-1,07-02-038-2,07-02-045-9,07-02-046-3,07-02-048-5,07-02-057-4,07-07-019-3,07-07-023-4,07-07-029-9,07-07-036-6,07-01-044-5,07-01-061-2,07-01-166-9,07-01-074-3,07-02-141-7,07-02-139-6,07-02-147-2,07-08-060-4,07-08-151-8,07-08-160-0,07-08-163-7,07-08-085-2,07-08-082-3,07-08-103-8
chr6,87152833,87152834,ZNF292,ZNF292,1,6.871508829,6.802685381,6.397606059,5.838544627,5.792527028,6.390521726,6.278111549,5.928316992,6.329345203,5.893900095,5.985817741,5.871660213,6.078657019,6.239849091,6.221861452,5.942248229,6.895523126,5.649737478,6.551831796,6.502891957,6.078299828,6.405633146,6.366987807,6.14447861,5.743767697,5.706529386,5.990465013,6.519689256,5.424983782,6.144419177,6.692363889,6.341301254,6.156712602,6.358101215,5.510991678,5.706030872,6.396347637,5.628030356,6.71603416,6.457143744,6.121455234,5.918767744,6.401784621,6.044742191,6.333605965,5.503443608,6.364845705,6.135807054,6.313954948,6.32939611,5.983150587,6.265725252,6.322257507,6.417172707,6.112070246,6.618575991,5.663487365,6.404493934,6.646086219,5.86913495,6.327366848,5.7985545,6.247630579,6.259000165,6.726446135,6.023250058,6.338434244,6.659182777,5.750423618,5.989648011,6.456204201,6.182984587,6.514153122,6.163890734,6.633151307,6.631638969,6.400317947,6.334210805,6.544617621,6.260748262,6.086648476,6.366607527,6.176144354,6.481207741,6.62113413,6.107800709,6.391257804,6.444036255,6.444153663,6.407613483,6.551878055,6.335554334,6.516081229,5.711344386,6.447492319,6.146529858,6.292987623,6.099315757,6.069959636,6.382445025,6.212131948,6.692397387,6.244495903,6.429663488,6.414867346,6.136702215,6.040694337,5.946774897,6.896675612,6.892333922,5.915107149,6.759186992,6.415295477,6.728878792,6.490295703,6.60344392,6.293880359,6.066749004,6.585556819,6.235666772
chr2,218270392,218270393,PNKD,PNKD,1,6.73095843,6.826414453,7.101499832,7.600990089,7.521689385,7.136024002,7.299241716,7.168330335,7.367121854,7.284563999,7.231328454,7.456622714,7.461216895,7.479244597,7.680860154,7.634769047,7.59980491,7.644551031,7.069935089,7.409992996,7.075352544,7.457829357,7.094159931,7.266469134,7.464613626,7.679971175,7.343729659,7.419101672,7.558723206,7.394223629,6.497767025,7.206948868,7.168117365,7.280439242,7.550843589,7.583656873,7.300336751,7.413100389,7.375694028,7.147780288,7.363343831,7.764677461,7.064065406,7.163041504,7.617672391,7.456446128,7.777942794,7.430349261,7.477392486,7.342644092,7.429079394,7.522571729,7.618202398,7.649119435,7.691603972,7.104002818,7.543468219,7.470045926,7.217800738,7.516355374,7.244094299,7.473327444,6.794737716,7.639396843,7.102267238,7.71714693,7.363406772,7.694349631,7.461093531,7.445808741,7.394047725,7.168543074,7.07834133,7.199206847,7.060977868,6.906966651,7.456095404,7.37846158,7.128579987,7.375877549,7.6004778,7.310023998,7.277006034,7.408545378,7.311839507,7.348532721,7.145994782,7.223828081,7.304792009,7.272853962,7.09607095,7.299116323,7.298291839,7.499989158,7.053856042,7.317585941,7.498936431,7.475611684,6.753640188,7.353609388,7.552525236,7.157201125,7.691761735,7.311212954,6.996935774,7.138710142,7.027893055,7.386165193,7.34715278,7.086001342,7.653623194,7.155322863,7.599389307,7.327975577,6.555760017,6.803481132,7.114189328,7.112489549,7.100885132,7.238213454
chr17,61942605,61942606,MED13,MED13,-1,6.761937735,5.865879208,5.894083618,5.357308638,5.89644598,5.794816844,5.541145955,5.798549117,5.106952782,4.985149157,5.040831843,4.774935441,5.443421312,5.292744039,5.158596559,5.920471287,6.529651683,5.255261301,5.735613598,5.36032856,5.849021021,5.930295136,5.146627351,4.864370691,5.803577092,4.636759108,5.530498171,5.47786908,4.84460855,5.417613449,6.02064948,5.97993242,5.188421462,5.362182392,5.960046116,5.998694372,5.87894842,4.103694214,5.748522013,6.247181438,6.036566336,5.085710121,6.217163108,5.290182537,4.802750869,5.503443608,5.772105854,4.735762269,4.872402931,5.595975223,5.204814558,5.243765999,5.377316524,5.428313264,5.711857394,5.832198203,4.747073996,5.459062877,5.611385128,5.598220021,5.493077361,4.459752587,6.535163605,4.536942778,5.864403408,4.343871955,5.296614068,5.897016628,4.866389636,5.14984244,5.684049179,5.309473116,5.388326151,5.19303708,5.452315532,5.994600925,5.116785231,5.179577456,5.583091769,5.041367731,5.369378684,5.391451598,5.287789709,5.315818094,5.624206964,5.351566781,5.337435104,5.273174135,5.618832195,5.762130091,5.435656221,5.457081699,5.97512591,5.504893509,5.152036436,5.316077634,4.996436091,5.979334337,5.354628112,5.408848024,4.853050854,6.127547851,5.154858691,5.748193006,5.586397661,5.195756642,5.363641644,4.996432783,6.005747311,5.566309199,4.636475888,6.180685295,5.334534465,5.469492164,5.838219007,5.589258013,5.425763507,5.335161589,5.116652448,5.574824307
chr9,112217716,112217717,PTBP3,PTBP3,-1,7.241724131,7.149753957,7.590506549,7.221086127,7.139380956,7.318097491,7.192864262,7.398520284,7.183870153,6.876442898,7.1787814,6.908124539,7.213763044,7.085182969,6.654644502,7.103139419,7.353204962,6.687212183,7.481040771,7.469357967,7.52320484,7.687526579,7.40461892,7.018354148,7.338872208,6.75822262,6.715393749,7.354540786,6.383028465,7.216506793,7.761235389,7.351778388,7.093518775,7.061994987,7.41668452,7.161770708,7.266137934,7.241602477,6.997371474,7.127460303,7.283726663,7.029699735,7.209758327,7.292393564,6.839885116,7.179201647,7.437941086,6.882603657,6.973489056,7.326731853,7.069713525,7.340052691,7.413405395,7.330757955,7.093665666,7.345010918,6.375947996,7.308109398,7.468061275,6.814795116,6.852574606,6.578955294,7.267381536,7.248746426,7.387570807,6.561776985,7.171083186,7.438974602,7.216196764,7.012568627,7.056152882,7.499153412,7.438952224,7.219584235,7.472337835,7.469409532,7.225520871,7.476008067,7.29472043,7.145459472,7.064164462,7.264640596,7.074830867,7.515324086,7.52412305,7.408033733,7.25273794,7.41947111,6.904883253,7.468471831,7.71034315,7.433261207,7.62071477,6.843695422,7.373935712,7.262268173,7.279370054,7.211745514,7.18197451,7.57294731,7.233972996,7.584043325,7.170190344,7.390087976,7.36934342,7.13469149,7.224711021,7.196178917,7.361818168,7.123659468,7.055428437,7.268830531,7.310286919,7.446232257,7.578250904,7.266260331,7.28059714,7.424596673,7.219205099,7.059675323
chr10,70247329,70247330,NPFFR1,NPFFR1,-1,0.205158002,-0.111400716,2.577937876,-2.264743181,-2.120362308,-2.006083056,-1.974553883,-2.19580432,0.714635359,-2.290975248,0.163087593,-2.323096642,-0.111167539,1.134314676,-0.43635003,-2.118447703,1.152131262,-2.057621654,0.548615084,0.836766604,-1.858338111,0.572743132,-2.518708566,-0.058461449,-0.233512227,-2.157656758,-0.084211674,-1.416948683,-1.869636967,-2.000239065,2.4714877,-2.080763512,-2.142495417,-2.105423158,-2.401897658,-2.25397106,-0.530442516,-0.651193288,-0.614882718,0.473335778,-2.177752785,-2.152694619,0.829761176,0.263382478,-2.545977285,-2.103886706,-1.759275607,0.850404835,-2.403721475,-1.752752931,-0.576545155,-2.104962155,-2.449231963,-2.17901705,-0.037676874,1.126722895,0.316024178,-2.380140912,1.457579792,-2.136489599,-2.383439586,-2.435065177,1.999703066,1.49591551,2.010952071,-1.764652502,-1.960773775,-1.929531859,0.731230053,0.177149786,-2.240763325,-1.788558967,-0.692047266,-2.258174032,-1.878601346,-2.044318064,-1.512571389,-1.918454627,-2.365275463,-0.471701851,-2.098226866,-2.288028502,0.581197764,-2.151787456,1.448129736,0.778677113,-0.49545491,1.314753238,0.633939087,-2.555282523,1.023842623,-2.382122089,-1.889060235,1.417430667,-0.233394601,-0.262861079,-0.288966128,-2.548142669,-0.071636642,-2.183609013,0.329488898,2.592416506,-1.715506029,-2.301655543,-0.226100564,-2.351137818,1.065961095,-0.473887152,-2.265715717,-2.15478999,1.491425555,2.591849785,0.290140346,1.342635884,0.283630155,1.69372728,0.524226146,1.674431581,-2.57683451,-1.90899147
chr8,144098633,144098634,SHARPIN,SHARPIN,-1,6.122316933,6.586261918,6.453717939,6.820065206,6.562632276,6.390521726,6.369742024,6.708077526,6.607026385,6.460568811,6.726855871,6.512953714,6.427991272,6.44070192,6.521719289,6.748831037,6.245643148,6.516025533,6.146401625,6.431713193,6.35598101,6.595110945,6.157248467,6.628039078,6.386096417,6.560019665,6.69976874,6.588675866,6.618203067,6.446844161,6.272768108,6.281180262,6.475890086,6.54921287,6.566769135,6.371737783,6.348119356,6.016509643,6.327631787,6.320616884,6.365279036,6.564981805,6.393093661,6.522654965,6.704321133,6.634205554,6.512187421,6.608257795,6.681086913,6.518710097,6.53545987,6.67967269,6.874948584,6.565816788,6.425029877,6.163146303,6.966050135,6.699343872,6.553504212,6.832177194,6.299554998,6.857256456,6.626976371,6.471432824,6.590439442,6.420222841,6.790770285,6.405858496,6.497522318,6.691272046,6.524108266,6.335562344,6.281410947,6.693110683,6.127023203,6.46743459,6.42406655,6.670260008,6.185471323,6.486367469,6.54201807,6.709150979,6.419701385,6.4444023,6.290721838,6.651505872,6.431335243,6.390596996,6.349710459,6.661463336,6.340609012,6.697362695,6.400958612,7.182557354,6.561021265,6.251261182,6.541390619,6.414753336,6.246680199,6.359422807,6.65501923,6.635190529,6.811970977,6.559431363,6.629390879,6.400406241,6.529031291,6.363215114,6.130889064,6.535207981,6.664429949,6.911449074,6.258231098,6.269193513,6.214367493,6.467351345,6.491292257,6.56138333,6.673463908,6.716717373
chr6,73223544,73223545,KHDC1L,KHDC1L,-1,0.857234698,-2.433328811,-0.480955813,-2.264743181,0.201565787,0.801271867,-1.974553883,-0.610841819,-1.607292736,2.101342175,-2.158840502,0.484258281,-1.69613004,-1.673040246,-2.021312531,-2.118447703,0.666704435,-0.472659154,-2.258739838,-2.333158398,-0.27337561,-1.749184963,-2.518708566,-0.058461449,-1.818474727,-2.157656758,-2.406139768,1.390406239,-1.869636967,-2.000239065,1.191379781,0.241164583,-2.142495417,-0.520460658,-2.401897658,-0.669008559,-0.530442516,-2.236155789,-2.199845219,-0.012091049,-2.177752785,-2.152694619,0.344334349,-2.058545617,-2.545977285,-2.103886706,-1.759275607,-2.319520167,-2.403721475,0.569175164,-2.161507656,-2.104962155,-2.449231963,-2.17901705,-2.359604969,-2.332708724,-2.491330744,-2.380140912,-0.864348303,-2.136489599,-2.383439586,-0.850102676,-2.392614357,-2.204524208,-1.448479548,-1.764652502,-1.960773775,-1.929531859,-0.491162368,1.025146693,-2.240763325,-0.203596467,0.530345156,-2.258174032,-1.878601346,0.277610031,-1.512571389,-1.918454627,-0.780312962,-2.056664352,-2.098226866,-2.288028502,-1.003764736,-2.151787456,-2.252309983,-1.543250982,-2.080417411,-0.559715879,-0.951023414,-2.555282523,0.538415796,-2.382122089,-1.889060235,-0.69804655,-0.970360196,-2.584789174,0.196460699,-2.548142669,-0.808602236,-2.183609013,-1.992439197,1.296960622,-1.715506029,-2.301655543,-0.963066159,-2.351137818,-2.103963906,-0.473887152,-2.265715717,0.652564932,-0.624051663,1.097085094,-2.031787749,-1.159864456,2.334256228,1.306704157,-0.32377076,-2.41303126,-0.991872009,0.412936624
chr19,43596392,43596393,ZNF576,ZNF576,1,4.692423829,4.009614685,4.503937294,5.083984973,4.508994312,4.43686044,4.739691634,4.343354491,4.415075077,5.621914088,5.259012013,5.060607651,4.678909391,5.360382756,5.217092208,4.675968164,4.85257098,4.710562671,4.707044446,4.632625887,3.974551903,4.03217475,4.830019588,4.799519546,4.975941139,5.13696399,5.186317269,4.513788654,5.04922627,4.894578698,4.111945314,4.027760945,5.275357098,4.46443245,5.129483803,4.514213265,4.57109551,5.371174525,5.251365893,4.677208111,4.330041855,5.160188337,4.498139685,4.480613194,4.530838312,4.972928891,4.171461731,5.196179672,5.173707353,4.817102677,4.467848964,4.928460846,4.606050473,4.507483478,5.202637456,3.689659089,4.747073996,4.819531433,4.237189723,4.709000452,4.274771897,4.483798061,4.375569968,4.481976319,4.106109304,4.539128246,4.981740731,4.728679624,5.000690728,4.363016331,5.210447787,3.992800746,4.88286157,4.456071486,4.388185194,4.642182463,4.716247301,4.7680459,4.4549035,4.133160207,4.844287639,5.042888376,4.630441283,4.813996829,4.515874342,4.685567708,4.577794072,4.48467824,4.963859973,5.932557511,4.556337704,4.583662196,4.260686885,4.815023032,5.232579863,4.595119916,4.755427991,4.903068443,4.806107608,4.91442307,4.450504299,4.066347694,5.179311734,4.412589975,4.886599568,4.725677779,3.728926108,4.835968111,4.554463245,4.665388972,4.661350556,4.876058214,4.343251682,4.786554503,4.346639953,4.320509956,4.3655284,4.481786503,4.365679995,4.430858532
chr1,159998651,159998652,KCNJ10,KCNJ10,-1,-2.60219692,-2.433328811,-2.065918314,-2.264743181,3.237189697,-2.006083056,-1.974553883,-2.19580432,-1.607292736,-2.290975248,-2.158840502,-2.323096642,-1.69613004,2.027399473,-2.021312531,2.405114253,0.666704435,-2.057621654,-2.258739838,-2.333158398,-1.858338111,-1.749184963,2.525685554,-1.643423949,-0.233512227,-2.157656758,-2.406139768,-1.416948683,-1.869636967,0.321689029,-1.615975141,-0.495801011,-2.142495417,-2.105423158,-2.401897658,-2.25397106,-2.115405017,-2.236155789,-2.199845219,-2.334019144,-2.177752785,-2.152694619,-1.977593746,-2.058545617,-2.545977285,-2.103886706,-1.759275607,-2.319520167,-2.403721475,-1.752752931,-2.161507656,-0.519999655,-2.449231963,-2.17901705,-2.359604969,-2.332708724,-2.491330744,-2.380140912,-2.449310804,-2.136489599,-2.383439586,-2.435065177,-2.392614357,-2.204524208,-1.448479548,-1.764652502,-1.960773775,-1.929531859,-2.076124869,-2.144778309,-2.240763325,-1.788558967,-2.277009766,-2.258174032,-1.878601346,-2.044318064,-1.512571389,-1.918454627,-2.365275463,-2.056664352,-0.513264366,-2.288028502,-2.588727237,-2.151787456,-2.252309983,-1.543250982,-2.080417411,-2.14467838,-2.535985914,-2.555282523,1.023842623,-2.382122089,-1.889060235,-2.283009051,-2.555322696,-2.584789174,0.559030778,-2.548142669,-0.808602236,0.138319082,-1.992439197,-2.162470996,-1.715506029,0.020272552,-0.226100564,-2.351137818,-2.103963906,-2.058849653,-2.265715717,-2.15478999,-2.209014163,-0.04041843,1.138137253,-1.159864456,0.283630155,-2.393735561,-2.645698855,-2.41303126,-0.991872009,-1.90899147
chr1,155335268,155335269,ASH1L,ASH1L,-1,7.018022905,7.119340287,6.397606059,6.293677532,6.399273945,7.078725332,7.067105268,6.370249718,6.256893409,6.228661005,5.079564237,6.338681456,6.527871634,6.765751607,5.055503066,6.162323067,6.689072248,6.961969074,6.857604123,6.028785376,7.033445592,6.222358591,6.597635395,6.637346821,6.356450955,6.177733596,5.565403786,6.632899866,6.325119887,6.404902398,6.518451179,6.315841269,6.071823704,6.619090695,6.223811185,6.249854678,6.17461383,4.963516556,5.850003331,6.92572412,6.526150789,6.099970814,6.858456609,6.421234647,6.434162293,6.572070327,6.53074324,6.398156256,6.444901466,6.172059572,6.342318082,5.998325653,6.454649883,6.618644476,6.767099504,6.893703469,6.406514712,5.999237455,6.139403831,6.567413975,6.748417375,6.649743211,6.417957278,6.519989645,7.086795829,6.579643406,6.961067163,6.703463338,6.058301451,6.451411447,6.698815889,6.949533292,6.949402426,6.663666905,6.609238687,6.377746702,6.37617186,6.82637921,6.6598641,6.036092789,5.552824825,6.330357,6.788483293,6.770053481,7.035402397,6.204941867,6.324724053,6.586640651,6.268145107,6.685508809,6.751763077,6.441245151,6.203696906,5.901866292,6.324260553,6.843570999,6.495014286,6.127814364,6.580849853,6.767675702,6.718367237,7.129850636,6.22113191,7.114086225,6.294321684,6.723003644,6.454456807,6.588608774,6.725806129,6.892333922,6.742270552,7.644680742,6.586597753,6.879054533,6.608132194,7.051279285,6.551517838,6.650363821,6.774104672,6.626283906
